Поезд/Нитка,Дней до отправления,Станция отп.,Станция назн.,Тип/Кл.обсл.,Кол-во прод. мест,Сумма по бил.,Сумма по плац.,Сумма серв. усл.,Итого сумма билета,Расстояние
262Э,13,РОСТОВ-ГЛАВНЫЙ,МАХАЧКАЛА,2К,1,,,208.0,3136.3,899
262Э,13,РОСТОВ-ГЛАВНЫЙ,МАХАЧКАЛА,2К,1,,,208.0,2770.3,899
262Э,13,РОСТОВ-ГЛАВНЫЙ,МАХАЧКАЛА,2К,1,,,208.0,3136.3,899
262Э,13,РОСТОВ-ГЛАВНЫЙ,МАХАЧКАЛА,2К,1,,,208.0,2038.2,899
262Э,13,РОСТОВ-ГЛАВНЫЙ,МАХАЧКАЛА,3Б,1,,,188.2,2685.0,899
262Э,13,РОСТОВ-ГЛАВНЫЙ,МАХАЧКАЛА,3Э,1,,,188.2,2685.0,899
262Э,13,РОСТОВ-ГЛАВНЫЙ,МАХАЧКАЛА,,1,,,0.0,0.0,899
135А,15,РОСТОВ-ГЛАВНЫЙ,МАХАЧКАЛА,1Л,1,,,384.0,9547.5,899
135А,15,РОСТОВ-ГЛАВНЫЙ,МАХАЧКАЛА,3Б,1,,,188.2,2685.0,899
135А,15,РОСТОВ-ГЛАВНЫЙ,МАХАЧКАЛА,3Э,1,,,188.2,2685.0,899
135А,15,РОСТОВ-ГЛАВНЫЙ,МАХАЧКАЛА,,1,,,0.0,0.0,899
262Э,15,РОСТОВ-ГЛАВНЫЙ,МАХАЧКАЛА,2К,1,,,208.0,3055.0,899
262Э,15,РОСТОВ-ГЛАВНЫЙ,МАХАЧКАЛА,2К,1,,,208.0,3461.7,899
262Э,15,РОСТОВ-ГЛАВНЫЙ,МАХАЧКАЛА,2К,1,,,208.0,3055.0,899
262Э,15,РОСТОВ-ГЛАВНЫЙ,МАХАЧКАЛА,2К,1,,,208.0,2241.6,899
262Э,15,РОСТОВ-ГЛАВНЫЙ,МАХАЧКАЛА,3Б,1,,,188.2,2685.0,899
262Э,15,РОСТОВ-ГЛАВНЫЙ,МАХАЧКАЛА,3Э,1,,,188.2,2685.0,899
262Э,15,РОСТОВ-ГЛАВНЫЙ,МАХАЧКАЛА,,1,,,0.0,0.0,899
262Э,18,РОСТОВ-ГЛАВНЫЙ,МАХАЧКАЛА,2К,1,,,208.0,2485.6,899
262Э,18,РОСТОВ-ГЛАВНЫЙ,МАХАЧКАЛА,2К,1,,,208.0,3055.0,899
262Э,18,РОСТОВ-ГЛАВНЫЙ,МАХАЧКАЛА,2К,1,,,208.0,2485.6,899
262Э,18,РОСТОВ-ГЛАВНЫЙ,МАХАЧКАЛА,2К,1,,,208.0,3055.0,899
262Э,18,РОСТОВ-ГЛАВНЫЙ,МАХАЧКАЛА,3Б,1,,,188.2,2685.0,899
262Э,18,РОСТОВ-ГЛАВНЫЙ,МАХАЧКАЛА,3Э,1,,,188.2,2685.0,899
262Э,18,РОСТОВ-ГЛАВНЫЙ,МАХАЧКАЛА,,1,,,0.0,0.0,899
135А,19,РОСТОВ-ГЛАВНЫЙ,МАХАЧКАЛА,1Л,1,,,384.0,9547.5,899
135А,19,РОСТОВ-ГЛАВНЫЙ,МАХАЧКАЛА,2К,1,,,208.0,3055.0,899
135А,19,РОСТОВ-ГЛАВНЫЙ,МАХАЧКАЛА,2К,1,,,208.0,2241.6,899
135А,19,РОСТОВ-ГЛАВНЫЙ,МАХАЧКАЛА,3Б,1,,,188.2,2685.0,899
135А,19,РОСТОВ-ГЛАВНЫЙ,МАХАЧКАЛА,3Э,1,,,188.2,2685.0,899
135А,19,РОСТОВ-ГЛАВНЫЙ,МАХАЧКАЛА,,1,,,0.0,0.0,899
262Э,20,РОСТОВ-ГЛАВНЫЙ,МАХАЧКАЛА,2К,1,,,208.0,2485.6,899
262Э,20,РОСТОВ-ГЛАВНЫЙ,МАХАЧКАЛА,2К,1,,,208.0,2485.6,899
262Э,20,РОСТОВ-ГЛАВНЫЙ,МАХАЧКАЛА,2К,1,,,208.0,3055.0,899
262Э,20,РОСТОВ-ГЛАВНЫЙ,МАХАЧКАЛА,2К,1,,,208.0,2485.6,899
262Э,20,РОСТОВ-ГЛАВНЫЙ,МАХАЧКАЛА,2К,1,,,208.0,3055.0,899
262Э,20,РОСТОВ-ГЛАВНЫЙ,МАХАЧКАЛА,2К,1,,,208.0,2241.6,899
262Э,20,РОСТОВ-ГЛАВНЫЙ,МАХАЧКАЛА,3Б,1,,,188.2,2685.0,899
262Э,20,РОСТОВ-ГЛАВНЫЙ,МАХАЧКАЛА,3Э,1,,,188.2,2685.0,899
262Э,20,РОСТОВ-ГЛАВНЫЙ,МАХАЧКАЛА,,1,,,0.0,0.0,899
135А,22,РОСТОВ-ГЛАВНЫЙ,МАХАЧКАЛА,2К,1,,,208.0,3055.0,899
135А,22,РОСТОВ-ГЛАВНЫЙ,МАХАЧКАЛА,3Б,1,,,188.2,2685.0,899
135А,22,РОСТОВ-ГЛАВНЫЙ,МАХАЧКАЛА,3Э,1,,,188.2,2685.0,899
135А,22,РОСТОВ-ГЛАВНЫЙ,МАХАЧКАЛА,,1,,,0.0,0.0,899
262Э,22,РОСТОВ-ГЛАВНЫЙ,МАХАЧКАЛА,2К,1,,,208.0,2485.6,899
262Э,22,РОСТОВ-ГЛАВНЫЙ,МАХАЧКАЛА,2К,1,,,208.0,2485.6,899
262Э,22,РОСТОВ-ГЛАВНЫЙ,МАХАЧКАЛА,2К,1,,,208.0,3055.0,899
262Э,22,РОСТОВ-ГЛАВНЫЙ,МАХАЧКАЛА,2К,1,,,208.0,2485.6,899
262Э,22,РОСТОВ-ГЛАВНЫЙ,МАХАЧКАЛА,2К,1,,,208.0,3055.0,899
262Э,22,РОСТОВ-ГЛАВНЫЙ,МАХАЧКАЛА,2К,1,,,208.0,2241.6,899
262Э,22,РОСТОВ-ГЛАВНЫЙ,МАХАЧКАЛА,3Б,1,,,188.2,2685.0,899
